occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
006bf750-d00c-40c0-9e2d-b35fcc0467ee,1927774412,Cassia grandis,Cassia grandis L.f.,Fabaceae,Cassia,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1083,18.4917,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0926ffffff
01900026-ae57-435f-897d-b17a368d9f87,1927790181,Bouchea prismatica,Bouchea prismatica (L.) Kuntze,Verbenaceae,Bouchea,SPECIES,PRESERVED_SPECIMEN,1973-09-22,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
01FD02A5-985C-4D34-9B8A-13C24A4FEC60,1503218475,Haematoxylum campechianum,Haematoxylum campechianum L.,Fabaceae,Haematoxylum,SPECIES,PRESERVED_SPECIMEN,1984-03-28,1984,-70.1,18.475,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0922ffffff
01b26c5c-1389-44f7-9ab8-7fcc79a20998,1927791842,Hamelia patens,Hamelia patens Jacq.,Rubiaceae,Hamelia,SPECIES,PRESERVED_SPECIMEN,1973-09-22,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
064a5038-24d5-40f0-9cb2-8fbf39bb3a1b,1927856529,Malpighia urens,Malpighia urens L.,Malpighiaceae,Malpighia,SPECIES,PRESERVED_SPECIMEN,1971-10-30,1971,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
078aaca7-1688-418f-a16d-81496c395dfb,1927874504,Miconia racemosa,Miconia racemosa (Aubl.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1988-06-17,1988,-70.15,18.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0936ffffff
07d42598-4ee9-4c81-9fd7-5e3174c6d12d,1927878371,Priva lappulacea,Priva lappulacea (L.) Pers.,Verbenaceae,Priva,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
0956d767-6a6a-46a3-851c-7f86bec029f4,1301003805,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Poaceae,Sorghum,SUBSPECIES,OCCURRENCE,,NA,-70.110001,18.42,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd0903ffffff
095c412d-71a9-4dc9-a68b-8d37cd09d5f7,1927900223,Dendrophthora flagelliformis,Dendrophthora flagelliformis (Desc.) Krug & Urb.,Viscaceae,Dendrophthora,SPECIES,PRESERVED_SPECIMEN,1963-03-23,1963,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
09F6E951-C039-4FB8-91A2-A0E9141D2802,1503206373,Lantana involucrata,Lantana reticulata Raf.,Verbenaceae,Lantana,SPECIES,PRESERVED_SPECIMEN,1982-08-21,1982,-70.1268,18.44,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
0bc4cd5b-9a64-4406-ae50-048965494996,1927934186,Aristolochia ehrenbergiana,Aristolochia ehrenbergiana Cham.,Aristolochiaceae,Aristolochia,SPECIES,PRESERVED_SPECIMEN,1973-09-22,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
0fa2ffb9-a86a-46dc-ac66-2d2395560bc4,1300843526,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-01-14,1985,-70.110001,18.41,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
0ff3a15a-2aea-4efa-a158-8bd6dc694751,1927993555,Tarenaya aculeata,Cleome aculeata L.,Cleomaceae,Tarenaya,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0931ffffff
1002ab73-140b-4fbb-aba3-7e816bca4423,1927993364,Cananga odorata,Cananga odorata (Lam.) Hook.fil. & Thomson,Annonaceae,Cananga,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
10202CFA-8464-4DB2-B7E5-83EDC5127C13,122924163,Chrysophyllum oliviforme,Chrysophyllum oliviforme L.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1167,18.45,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
13661280-dcbe-4e15-8799-5916d98f4ed4,4079747782,Leucaena leucocephala,Leucaena leucocephala (Lam.) de Wit,Fabaceae,Leucaena,SPECIES,PRESERVED_SPECIMEN,1956-04-25,1956,-70.112777,18.411811,221,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
15622651,4042747327,Pleopeltis polypodioides,Polypodium polypodioides (L.) Watt,Polypodiaceae,Pleopeltis,SPECIES,PRESERVED_SPECIMEN,1984,1984,-70.08,18.41,NA,780977d6-1cdb-4804-904f-9303cce8b4a1,KUN,,21,01,SAN CRISTÓBAL,052101,874cd090effffff
15622657,4042743571,Polypodiaceae J. & C.Presl,Polypodiaceae J. & C.Presl,Polypodiaceae,,FAMILY,PRESERVED_SPECIMEN,1984,1984,-70.08,18.41,NA,780977d6-1cdb-4804-904f-9303cce8b4a1,KUN,,21,01,SAN CRISTÓBAL,052101,874cd090effffff
159bcfeb-1c60-4062-8765-0cfa4d015478,1928072616,Cananga odorata,Cananga odorata (Lam.) Hook.fil. & Thomson,Annonaceae,Cananga,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
17476ee4-63d6-4908-a424-2bcb8056d5c2,1300843518,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-02-19,1985,-70.110001,18.42,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd0903ffffff
1D3DB028-2A8E-4BAE-8474-0F9C6A496A6B,216039211,Cuscuta americana,Cuscuta americana L.,Convolvulaceae,Cuscuta,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1167,18.4667,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,21,01,SAN CRISTÓBAL,052101,874cd0931ffffff
1c6d92ee-7107-48b3-9938-8172a016a58d,1928168543,Pentalinon luteum,Pentalinon luteum (L.) B.F.Hansen & Wunderlin,Apocynaceae,Pentalinon,SPECIES,PRESERVED_SPECIMEN,1973-08-18,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
2132f4eb-3e95-43e3-be59-20fe6aead9c4,4079747804,Aristolochia bilobata,Aristolochia bilobata L.,Aristolochiaceae,Aristolochia,SPECIES,PRESERVED_SPECIMEN,1958-08-21,1958,-70.100024,18.458419,414,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,21,01,SAN CRISTÓBAL,052101,874cd0904ffffff
21435129-0e0f-4423-b2ec-2d7d31ca9b1c,1302312259,Ipomoea tiliacea,Ipomoea tiliacea (Willd.) Choisy,Convolvulaceae,Ipomoea,SPECIES,OCCURRENCE,,NA,-70.1,18.45,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,21,01,SAN CRISTÓBAL,052101,874cd0904ffffff
223c9396-447e-499c-8fe8-9000529d1c2c,1300843517,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-01-11,1985,-70.110001,18.42,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd0903ffffff
23cfcb3a-04f5-4e2f-b449-14d1cf6467bb,1928276345,Brya buxifolia,Brya buxifolia (Murray) Urb.,Fabaceae,Brya,SPECIES,PRESERVED_SPECIMEN,1987-11-09,1987,-70.13,18.4583,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
245068af-c25f-4989-b31c-0dd50c130cd7,1300843537,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-02-19,1985,-70.110001,18.42,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd0903ffffff
24d2eb19-35a4-407b-ab1a-00a15eb96ef7,3425707301,Xanthium strumarium,Xanthium strumarium L.,Asteraceae,Xanthium,SPECIES,PRESERVED_SPECIMEN,1992-10-14,1992,-70.116667,18.45,NA,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,TEX,TEX,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
277f7fb7-a1aa-4df6-941f-5b17a637723f,1928327765,Melia azedarach,Melia azedarach L.,Meliaceae,Melia,SPECIES,PRESERVED_SPECIMEN,1965-04-03,1965,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
29a7213d-7df1-4eff-ba9b-b08c140f89e5,1928358187,Amphilophium lactiflorum,Amphilophium lactiflorum (Vahl) L.G.Lohmann,Bignoniaceae,Amphilophium,SPECIES,PRESERVED_SPECIMEN,1965-03-27,1965,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
29f481c9-3fea-45dd-94a0-5f87f2725f32,1928362483,Mimosa candollei,Mimosa quadrivalvis var. leptocarpa (DC.) Barneby,Fabaceae,Mimosa,VARIETY,PRESERVED_SPECIMEN,1994-05-07,1994,-70.13,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0931ffffff
2EFB6885-9D8B-4409-86C2-B4FD51E18AF6,1503206273,Miconia stenobotrys,Miconia artibonitensis Urb. & Ekman,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1982-08-21,1982,-70.1268,18.44,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
2ab2e1b3-c559-4e4c-b87f-6d7f47177ae6,1928373432,Gliricidia sepium,Gliricidia sepium (Jacq.) Kunth,Fabaceae,Gliricidia,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1083,18.4917,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0926ffffff
2abacfd0-ca9c-45e1-b719-5e2ad0eeaf49,1928373667,Cornutia pyramidata,Cornutia pyramidata L.,Lamiaceae,Cornutia,SPECIES,PRESERVED_SPECIMEN,1984-03-28,1984,-70.1,18.475,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0922ffffff
2ae9d5be-f697-463d-909e-f29b92f49ba9,1928376240,Lantana camara,Lantana camara L.,Verbenaceae,Lantana,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
2f892644-fafe-4182-99e3-5654f09606f0,1928441043,Ceratophyllum demersum,Ceratophyllum demersum L.,Ceratophyllaceae,Ceratophyllum,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
304a1f6a-b284-4b2d-accc-bcf79d48647f,4079748004,Eucalyptus robusta,Eucalyptus robusta Sm.,Myrtaceae,Eucalyptus,SPECIES,PRESERVED_SPECIMEN,1958-05-13,1958,-70.113106,18.411611,348,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
333E64FC-22DC-4254-9D32-5E7BE7B87A0F,1503223842,Clusia minor,Clusia minor L.,Clusiaceae,Clusia,SPECIES,PRESERVED_SPECIMEN,1981-10-10,1981,-70.1167,18.2833,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd081dffffff
35df76d5-3840-44c9-9407-0f74e7741d45,1928531753,Chrysophyllum argenteum,Chrysophyllum argenteum Jacq.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1963-12-21,1963,-70.12425,18.445674,2161.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
3BF6ACA9-92AB-4CED-8812-C7A33D8655E0,122907485,Averrhoa carambola,Averrhoa carambola L.,Oxalidaceae,Averrhoa,SPECIES,PRESERVED_SPECIMEN,,NA,-70.1167,18.4167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,21,01,SAN CRISTÓBAL,052101,874cd091cffffff
3E0526F9-5A5A-4A89-848C-CA5EB5FC0CA8,1503214904,Fuirena umbellata,Fuirena umbellata Rottb.,Cyperaceae,Fuirena,SPECIES,PRESERVED_SPECIMEN,1970-11-04,1970,-70.1272,18.4337,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
3c4af973-c248-4711-92f5-f133ce41eb81,1300843502,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-01-14,1985,-70.110001,18.41,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
3c9f88b0-3f2e-4af4-b972-1e107db965e7,1928625133,Galactia striata,Galactia striata (Jacq.) Urb.,Fabaceae,Galactia,SPECIES,PRESERVED_SPECIMEN,1973-09-22,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
413056f9-b367-4173-b74b-66a99becb762,1928690194,Thunbergia alata,Thunbergia alata Bojer ex Sims,Acanthaceae,Thunbergia,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
46EC375C-5A26-4916-AC72-7B6918CBFE9A,1503206396,Chrysophyllum oliviforme,Chrysophyllum oliviforme L.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1982-08-21,1982,-70.1268,18.44,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
47f07b14-245a-4198-914d-6f0d8bc8f544,1928785098,Corchorus siliquosus,Corchorus siliquosus L.,Malvaceae,Corchorus,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
482bb03f-58e1-475a-b5b2-c0c0e3cd0fec,1928788712,Jasminum multiflorum,Jasminum multiflorum (Burm.fil.) Andrews,Oleaceae,Jasminum,SPECIES,PRESERVED_SPECIMEN,1984-03-28,1984,-70.1,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0922ffffff
4bcade64-5813-4fcf-812b-80ffc3a93104,1928839787,Croton glandulosus,Croton glandulosus var. glandulosus,Euphorbiaceae,Croton,VARIETY,PRESERVED_SPECIMEN,1962,1962,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
4e9f089c-23f0-48e8-a42f-779e39240145,1928880348,Zanthoxylum caribaeum,Zanthoxylum caribaeum Lam.,Rutaceae,Zanthoxylum,SPECIES,PRESERVED_SPECIMEN,1990-09-01,1990,-70.13,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0931ffffff
54f805cf-281c-491f-bfce-09ca53140d50,1304582483,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,1981-01-15,1981,-70.116667,18.45,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
55f56266-061f-4937-a6b8-70a93a723d69,1928982695,Digitaria ciliaris,Digitaria ciliaris (Retz.) Koeler,Poaceae,Digitaria,SPECIES,PRESERVED_SPECIMEN,1974-09,1974,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
56f310e3-b4b5-4e5c-8e1a-fd17df6e66e1,4079748156,Medicago sativa,Medicago sativa L.,Fabaceae,Medicago,SPECIES,PRESERVED_SPECIMEN,1956-04-28,1956,-70.112777,18.411811,221,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
5941ce2b-46a3-4b7e-a087-f886b6a1c638,1304204659,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,,NA,-70.116111,18.466111,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,PBI_NHM,,21,01,SAN CRISTÓBAL,052101,874cd0931ffffff
5C10FBD5-CC50-41E5-A3CB-40CC69334B56,1503211464,Pityrogramma calomelanos,Pityrogramma calomelanos (L.) Link,Pteridaceae,Pityrogramma,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1167,18.45,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
5d7a8613-fe8d-4b70-9f87-3b84fc75dde4,1929089447,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
5e30501c-a405-4fd4-b588-d2bd49ccb49d,1304204682,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,,NA,-70.116667,18.45,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,PBI_NHM,,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
5f276b19-4635-4782-940e-fd70b745dd27,1929113449,Amphilophium lactiflorum,Amphilophium lactiflorum (Vahl) L.G.Lohmann,Bignoniaceae,Amphilophium,SPECIES,PRESERVED_SPECIMEN,1965-09-25,1965,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
60d9fafe-833e-45ab-b779-27478a71a65a,1929137344,Chrysophyllum oliviforme,Chrysophyllum oliviforme L.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
645ff694-a8a6-4cd2-bd73-1c9cd3eef32c,1929187177,Desmodium procumbens,Desmodium procumbens (Mill.) C.L.Hitchc.,Fabaceae,Desmodium,SPECIES,PRESERVED_SPECIMEN,1973-10-20,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
6500911c-e35f-4560-8a7e-7da9141b12aa,1929195138,Pityrogramma calomelanos,Pityrogramma calomelanos (L.) Link,Pteridaceae,Pityrogramma,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
66714a8e-8476-4f94-a9a9-94585e45b42e,5995023329,Mimosa candollei,Mimosa quadrivalvis var. leptocarpa (DC.) Barneby,Fabaceae,Mimosa,VARIETY,PRESERVED_SPECIMEN,1994-05-07,1994,-70.133333,18.466667,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,21,01,SAN CRISTÓBAL,052101,874cd0933ffffff
669ce512-cc15-4fef-838a-6288aef7e921,1929218720,Senna atomaria,Senna atomaria (L.) H.S.Irwin & Barneby,Fabaceae,Senna,SPECIES,PRESERVED_SPECIMEN,1963-03-23,1963,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
6907EE8F-2903-4A1D-9A37-2F4CEB8AC2AC,1503214979,Alternanthera ficoidea,Alternanthera ficoidea (L.) P.Beauv.,Amaranthaceae,Alternanthera,SPECIES,PRESERVED_SPECIMEN,1970-11-14,1970,-70.1272,18.4337,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
69a6d997-7e06-40b6-85a7-552f71616c9d,1929260822,Domingoa haematochila,Domingoa haematochila (Rchb.f.) Carabia,Orchidaceae,Domingoa,SPECIES,PRESERVED_SPECIMEN,1965-03-06,1965,-70.12425,18.445674,2161.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
6c1a80ed-82b1-45fb-913b-3aa510b30ede,1300843545,Cajanus cajan,Cajanus cajan (L.) Huth,Fabaceae,Cajanus,SPECIES,OCCURRENCE,1985-01-03,1985,-70.110001,18.41,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity-SINGER,,21,01,SAN CRISTÓBAL,052101,874cd091dffffff
6cda4d5f-b389-440a-a7d6-37df2d66673f,4068900265,Piper amalago,Piper amalago L.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,2002-06-11,2002,-70.069472,18.397389,NA,dfe29309-9f9f-493b-95e7-68f4563a3cdb,SRP,Vascular,21,01,SAN CRISTÓBAL,052101,874cd0908ffffff
6dc57c37-88e3-4902-af7e-cdafaac98dee,1929319846,Pteris grandifolia,Pteris grandifolia L.,Pteridaceae,Pteris,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
6dc9e941-a27b-4945-b9a3-7f555c0f49ea,1929319289,Sida abutilifolia,Sida abutilifolia Mill.,Malvaceae,Sida,SPECIES,PRESERVED_SPECIMEN,1973-10-20,1973,-70.16758,18.39275,620.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd09a9ffffff
70f2eab0-4bb9-4574-bd8d-c10e4f10f5c8,1929364089,Adiantum tenerum,Adiantum tenerum Sw.,Pteridaceae,Adiantum,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
71f76268-6994-4fe9-a0c0-571b8d72cbfb,1929378267,Crotalaria spectabilis,Crotalaria spectabilis Roth,Fabaceae,Crotalaria,SPECIES,PRESERVED_SPECIMEN,1980-07-09,1980,-70.08,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0901ffffff
735bfa7339db8283672b7d602d92e93b,1896051784,Corchorus siliquosus,Corchorus siliquosus L.,Malvaceae,Corchorus,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.116667,18.458889,NA,7fd2f6e2-f762-11e1-a439-00145eb45e9a,ENCB-IPN,ENCB,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
75410573-5f12-44c5-ba07-fce23d8a0ef8,1929424957,Synedrella nodiflora,Synedrella nodiflora (L.) Gaertn.,Asteraceae,Synedrella,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
76057f41-93e2-4052-8583-f647393ea10b,1304606593,Solanum capsicoides,Solanum capsicoides All.,Solanaceae,Solanum,SPECIES,OCCURRENCE,1981-01-15,1981,-70.116667,18.45,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
7606053b-1fac-43fc-82c5-0952df8f0cbc,1929435619,Turbina corymbosa,Turbina corymbosa (L.) Raf.,Convolvulaceae,Turbina,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.12,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0906ffffff
77571a61-5f5e-4bfc-b77b-fba826ec7e26,1929453961,Kalanchoe pinnata,Kalanchoe pinnata (Lam.) Pers.,Crassulaceae,Kalanchoe,SPECIES,PRESERVED_SPECIMEN,1981-01-15,1981,-70.1083,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,21,01,SAN CRISTÓBAL,052101,874cd0922ffffff
797cdb3a-b053-4938-a3b3-a4db9c17b377,4533911223,Alternanthera ramosissima,Alternanthera brasiliana var. villosa (Moq.) Kuntze,Amaranthaceae,Alternanthera,VARIETY,PRESERVED_SPECIMEN,1981-01-15,1981,-70.134215,18.433984,942,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,21,01,SAN CRISTÓBAL,052101,874cd0902ffffff
7AFF4E2D-7AD4-4E23-9D06-F0BBABCFCCB6,1503218466,Jasminum multiflorum,Jasminum multiflorum (Burm.fil.) Andrews,Oleaceae,Jasminum,SPECIES,PRESERVED_SPECIMEN,1984-03-28,1984,-70.1,18.4833,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,21,01,SAN CRISTÓBAL,052101,874cd0922ffffff
